run,device,device_name,sm,sm_count,cell,axis,points,voxel_m,pool_blocks,blocks,load_factor,batch,scratch_slots,arm,stage,p50_ms,p95_ms,p99_ms,min_ms,mean_ms,n,gpu_state
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,allocate,0.027960,0.028336,0.028416,0.027720,0.027982,30,"2827, 13801, 46, 63.63"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,update,0.250252,0.252652,0.253580,0.248200,0.250320,30,"2827, 13801, 46, 63.63"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A4-rust,allocate,0.036744,0.037304,0.037540,0.035856,0.036679,30,"2827, 13801, 46, 63.63"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A4-rust,update,0.270828,0.273948,0.274216,0.266976,0.270909,30,"2827, 13801, 46, 63.63"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A5-triton,allocate,0.500968,0.503148,0.505432,0.497544,0.500814,30,"2827, 13801, 46, 63.63"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,0.327808,0.329944,0.330388,0.324084,0.327692,30,"2827, 13801, 46, 63.63"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A3-cuda,allocate,0.004920,0.005200,0.005308,0.004720,0.004943,30,"2827, 13801, 44, 141.45"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A3-cuda,update,0.034980,0.035784,0.035828,0.034016,0.034945,30,"2827, 13801, 44, 141.45"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A4-rust,allocate,0.016644,0.016936,0.017100,0.016224,0.016649,30,"2827, 13801, 44, 141.45"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A4-rust,update,0.041204,0.042032,0.042544,0.040176,0.041198,30,"2827, 13801, 44, 141.45"
