run,device,device_name,sm,sm_count,cell,axis,points,voxel_m,pool_blocks,blocks,load_factor,batch,scratch_slots,arm,stage,p50_ms,p95_ms,p99_ms,min_ms,mean_ms,n,gpu_state
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,allocate,0.027880,0.028212,0.028380,0.027412,0.027895,30,"2827, 13801, 46, 64.85"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,update,0.249892,0.251932,0.252216,0.246580,0.249669,30,"2827, 13801, 46, 64.85"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A4-rust,allocate,0.037128,0.037840,0.037900,0.036532,0.037112,30,"2827, 13801, 46, 64.85"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A4-rust,update,0.270600,0.272684,0.272900,0.266480,0.270138,30,"2827, 13801, 46, 64.85"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A5-triton,allocate,0.500612,0.502836,0.502964,0.496848,0.500337,30,"2827, 13801, 46, 64.85"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,0.327164,0.330640,0.330740,0.324608,0.327032,30,"2827, 13801, 46, 64.85"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A3-cuda,allocate,0.005024,0.005288,0.005508,0.004792,0.005030,30,"2827, 13801, 45, 122.21"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A3-cuda,update,0.034380,0.035212,0.035348,0.033608,0.034449,30,"2827, 13801, 45, 122.21"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A4-rust,allocate,0.016652,0.017192,0.017336,0.016440,0.016712,30,"2827, 13801, 45, 122.21"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A4-rust,update,0.041008,0.041776,0.042036,0.040188,0.040998,30,"2827, 13801, 45, 122.21"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A5-triton,allocate,0.085728,0.086100,0.086408,0.084904,0.085673,30,"2827, 13801, 45, 122.21"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A5-triton,update,0.088076,0.088592,0.088724,0.087296,0.088081,30,"2827, 13801, 45, 122.21"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,allocate,0.010428,0.010776,0.011540,0.010188,0.010462,30,"2827, 13801, 45, 152.01"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,update,0.069568,0.070328,0.071100,0.068660,0.069632,30,"2827, 13801, 45, 152.01"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A4-rust,allocate,0.017784,0.018460,0.019036,0.017016,0.017785,30,"2827, 13801, 45, 152.01"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A4-rust,update,0.081864,0.083468,0.085808,0.080084,0.082039,30,"2827, 13801, 45, 152.01"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A5-triton,allocate,0.149356,0.150068,0.150168,0.148568,0.149281,30,"2827, 13801, 45, 152.01"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,0.118264,0.119168,0.119220,0.117000,0.118194,30,"2827, 13801, 45, 152.01"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,allocate,0.051560,0.053128,0.053268,0.050956,0.051762,30,"2827, 13801, 48, 164.24"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,update,0.542520,0.547060,0.547328,0.537604,0.542382,30,"2827, 13801, 48, 164.24"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A4-rust,allocate,0.063184,0.063784,0.064244,0.062068,0.063132,30,"2827, 13801, 48, 164.24"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A4-rust,update,0.564332,0.568976,0.569964,0.557892,0.564208,30,"2827, 13801, 48, 164.24"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A5-triton,allocate,1.125724,1.132764,1.133908,1.118088,1.125642,30,"2827, 13801, 48, 164.24"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,0.641116,0.643332,0.643944,0.636508,0.640704,30,"2827, 13801, 48, 164.24"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,allocate,0.078784,0.080276,0.080292,0.078376,0.079081,30,"2827, 13801, 49, 172.12"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,update,0.895852,0.901972,0.901992,0.886700,0.895315,30,"2827, 13801, 49, 172.12"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A4-rust,allocate,0.094936,0.096244,0.096288,0.093364,0.094906,30,"2827, 13801, 49, 172.12"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A4-rust,update,0.928404,0.935168,0.936952,0.918760,0.928001,30,"2827, 13801, 49, 172.12"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A5-triton,allocate,1.941480,1.946532,1.946868,1.936016,1.941474,30,"2827, 13801, 49, 172.12"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,1.041064,1.047416,1.049592,1.034692,1.041199,30,"2827, 13801, 49, 172.12"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A3-cuda,allocate,0.023416,0.024764,0.024920,0.023156,0.023568,30,"2827, 13801, 48, 162.15"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A3-cuda,update,0.240312,0.243012,0.243116,0.238332,0.240450,30,"2827, 13801, 48, 162.15"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A4-rust,allocate,0.035272,0.036196,0.036372,0.034156,0.035255,30,"2827, 13801, 48, 162.15"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A4-rust,update,0.269932,0.273156,0.274736,0.265704,0.270091,30,"2827, 13801, 48, 162.15"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A5-triton,allocate,0.500652,0.503488,0.504308,0.497668,0.500549,30,"2827, 13801, 48, 162.15"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A5-triton,update,0.307248,0.311164,0.311184,0.303252,0.307270,30,"2827, 13801, 48, 162.15"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A3-cuda,allocate,0.032440,0.032616,0.032684,0.032140,0.032458,30,"2827, 13801, 48, 173.92"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A3-cuda,update,0.278284,0.280448,0.281524,0.275744,0.277944,30,"2827, 13801, 48, 173.92"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A4-rust,allocate,0.041616,0.042052,0.042068,0.040896,0.041512,30,"2827, 13801, 48, 173.92"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A4-rust,update,0.291412,0.292560,0.292628,0.286672,0.290809,30,"2827, 13801, 48, 173.92"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A5-triton,allocate,0.502888,0.505772,0.506756,0.498372,0.502881,30,"2827, 13801, 48, 173.92"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A5-triton,update,0.347640,0.350176,0.350200,0.343536,0.347331,30,"2827, 13801, 48, 173.92"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-2.0,extent,320000,0.010000,131072,18160,0.069275,8,65536,A3-cuda,allocate,0.044676,0.044960,0.045484,0.044160,0.044676,30,"2827, 13801, 48, 170.16"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-2.0,extent,320000,0.010000,131072,18160,0.069275,8,65536,A3-cuda,update,0.619408,0.622476,0.622704,0.617740,0.619796,30,"2827, 13801, 48, 170.16"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-2.0,extent,320000,0.010000,131072,18160,0.069275,8,65536,A4-rust,allocate,0.051836,0.052416,0.052420,0.051036,0.051823,30,"2827, 13801, 48, 170.16"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-2.0,extent,320000,0.010000,131072,18160,0.069275,8,65536,A4-rust,update,0.595308,0.597848,0.598648,0.591408,0.595209,30,"2827, 13801, 48, 170.16"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-2.0,extent,320000,0.010000,131072,18160,0.069275,8,65536,A5-triton,allocate,0.507552,0.510600,0.511672,0.504844,0.507580,30,"2827, 13801, 48, 170.16"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-2.0,extent,320000,0.010000,131072,18160,0.069275,8,65536,A5-triton,update,0.773884,0.776532,0.778228,0.769420,0.773736,30,"2827, 13801, 48, 170.16"
